year,men,women,gap_years
1890,26.1,22.0,4.100000000000001
1900,25.9,21.9,4.0
1910,25.1,21.6,3.5
1920,24.6,21.2,3.400000000000002
1930,24.3,21.3,3.0
1940,24.3,21.5,2.8000000000000007
1950,22.8,20.3,2.5
1955,22.6,20.2,2.400000000000002
1960,22.8,20.3,2.5
1965,22.8,20.6,2.1999999999999993
1970,23.2,20.8,2.3999999999999986
1975,23.5,21.1,2.3999999999999986
1980,24.7,22.0,2.6999999999999993
1985,25.5,23.3,2.1999999999999993
1990,26.1,23.9,2.200000000000003
1995,26.9,24.5,2.3999999999999986
2000,26.8,25.1,1.6999999999999993
2005,27.1,25.3,1.8000000000000007
2010,28.2,26.1,2.099999999999998
2015,29.2,27.1,2.099999999999998
2019,29.8,28.0,1.8000000000000007
2020,30.1,28.1,2.0
2021,30.4,28.3,2.099999999999998
2022,30.1,28.4,1.7000000000000028
2023,30.2,28.5,1.6999999999999993
2024,30.4,28.6,1.7999999999999972
