pop_15plus,male_never_married,male_married,female_never_married,female_married,state,state_fips,year,total_married,pct_married
2388147,426597,34684,398740,131985,Mississippi,28,2015,166669,6.98
4931458,801558,69035,704766,250239,Missouri,29,2015,319274,6.47
844438,141041,13570,105097,37561,Montana,30,2015,51131,6.06
1501794,255029,18081,204520,67512,Nebraska,31,2015,85593,5.7
2332895,431514,31918,344752,95891,Nevada,32,2015,127809,5.48
1117604,183282,14368,150452,47755,New Hampshire,33,2015,62123,5.56
7313818,1336661,92456,1196365,358749,New Jersey,34,2015,451205,6.17
1668989,307395,24393,262208,76092,New Mexico,35,2015,100485,6.02
16312417,3263252,196775,3078939,743873,New York,36,2015,940648,5.77
8146843,1362564,105561,1223827,397322,North Carolina,37,2015,502883,6.17
611660,116255,6171,82190,27301,North Dakota,38,2015,33472,5.47
9451449,1612418,130747,1424650,473942,Ohio,39,2015,604689,6.4
3108452,491094,50961,394496,157073,Oklahoma,40,2015,208034,6.69
3316989,566121,39075,462660,136674,Oregon,41,2015,175749,5.3
10589716,1894997,153068,1680326,564590,Pennsylvania,42,2015,717658,6.78
882671,169660,10582,156845,44061,Rhode Island,44,2015,54643,6.19
3994825,686262,56048,617198,210491,South Carolina,45,2015,266539,6.67
682834,117004,9552,90365,31552,South Dakota,46,2015,41104,6.02
5363257,853883,73420,761623,272770,Tennessee,47,2015,346190,6.45
21446565,3804642,236485,3218567,862087,Texas,48,2015,1098572,5.12
529124,90669,6366,77155,23025,Vermont,50,2015,29391,5.55
2228373,368608,19153,298417,65430,Utah,49,2015,84583,3.8
6826858,1176452,83128,1034617,293827,Virginia,51,2015,376955,5.52
5828814,1011260,63673,809690,217838,Washington,53,2015,281511,4.83
1531879,234873,27682,191746,92435,West Virginia,54,2015,120117,7.84
4703887,821652,58166,689612,208170,Wisconsin,55,2015,266336,5.66
468057,72489,5974,58703,19937,Wyoming,56,2015,25911,5.54
2880600,589872,41173,555020,163281,Puerto Rico,72,2015,204454,7.1
3947204,643803,56920,587456,222472,Alabama,01,2015,279392,7.08
582619,124335,5558,83760,15735,Alaska,02,2015,21293,3.65
5481996,1009232,69187,827914,238236,Arizona,04,2015,307423,5.61
2390981,357585,35788,298334,134630,Arkansas,05,2015,170418,7.13
31576740,6331136,327215,5377533,1252621,California,06,2015,1579836,5.0
4406120,782598,46959,613936,141241,Colorado,08,2015,188200,4.27
776531,136341,11444,126397,37752,Delaware,10,2015,49196,6.34
569946,153707,5858,161935,20447,District of Columbia,11,2015,26305,4.62
2971949,548808,36562,501358,132965,Connecticut,09,2015,169527,5.7
16889179,2894926,258250,2482272,929044,Florida,12,2015,1187294,7.03
8139039,1438779,95476,1340771,352572,Georgia,13,2015,448048,5.5
1294692,201407,13996,166155,48760,Idaho,16,2015,62756,4.85
1168301,222377,15652,169582,56959,Hawaii,15,2015,72611,6.22
10412828,1939852,128431,1755416,471652,Illinois,17,2015,600083,5.76
5314761,891213,69222,779009,252780,Indiana,18,2015,322002,6.06
2518654,405842,34002,338424,124562,Iowa,19,2015,158564,6.3
2312560,384727,29970,310008,108705,Kansas,20,2015,138675,6.0
3588805,552524,54182,472107,183797,Kentucky,21,2015,237979,6.63
3740919,699983,59415,632820,196834,Louisiana,22,2015,256249,6.85
1121207,174163,15442,147730,57673,Maine,23,2015,73115,6.52
4890571,879578,54963,841984,220371,Maryland,24,2015,275334,5.63
5658173,1097062,66395,1015905,251832,Massachusetts,25,2015,318227,5.62
8116804,1448864,105622,1276410,380314,Michigan,26,2015,485936,5.99
4420760,761083,53055,641507,175522,Minnesota,27,2015,228577,5.17
2388158,419901,34874,396965,135398,Mississippi,28,2016,170272,7.13
4943723,820274,74046,703563,246377,Missouri,29,2016,320423,6.48
852293,142314,12100,106666,36064,Montana,30,2016,48164,5.65
1509438,253630,20345,206641,71225,Nebraska,31,2016,91570,6.07
2376250,450143,28800,355858,97224,Nevada,32,2016,126024,5.3
1123706,182984,15495,151594,49012,New Hampshire,33,2016,64507,5.74
7313609,1345377,86072,1207560,347712,New Jersey,34,2016,433784,5.93
1676659,313853,25026,269035,76983,New Mexico,35,2016,102009,6.08
16287464,3234830,206962,3084457,753315,New York,36,2016,960277,5.9
8250416,1377377,107934,1254842,397659,North Carolina,37,2016,505593,6.13
608512,112971,7724,80687,25690,North Dakota,38,2016,33414,5.49
9469520,1639270,135293,1438290,462189,Ohio,39,2016,597482,6.31
3117282,501814,47676,408475,152414,Oklahoma,40,2016,200090,6.42
3374727,567475,41099,478351,143266,Oregon,41,2016,184365,5.46
10585604,1916471,159061,1702435,554767,Pennsylvania,42,2016,713828,6.74
886433,170386,10823,159423,44176,Rhode Island,44,2016,54999,6.2
4046525,690100,62251,633057,222076,South Carolina,45,2016,284327,7.03
684721,122174,8310,95725,33724,South Dakota,46,2016,42034,6.14
5405690,870117,79653,769930,263203,Tennessee,47,2016,342856,6.34
21772944,3890744,254807,3325891,860486,Texas,48,2016,1115293,5.12
527074,89531,7438,76869,26028,Vermont,50,2016,33466,6.35
2276760,386824,18127,312644,63179,Utah,49,2016,81306,3.57
6860841,1190041,82099,1042315,296233,Virginia,51,2016,378332,5.51
5929275,1033508,64468,825474,225648,Washington,53,2016,290116,4.89
1519860,240042,26576,186715,90344,West Virginia,54,2016,116920,7.69
4718806,832052,58937,703306,203038,Wisconsin,55,2016,261975,5.55
466401,71712,5663,56562,18176,Wyoming,56,2016,23839,5.11
2854814,583888,38871,552630,169429,Puerto Rico,72,2016,208300,7.3
3962122,645555,60974,583215,225033,Alabama,01,2016,286007,7.22
584670,124922,5596,85832,14861,Alaska,02,2016,20457,3.5
5579306,1021830,77226,838293,239146,Arizona,04,2016,316372,5.67
2400908,365387,37732,308549,127429,Arkansas,05,2016,165161,6.88
31696515,6342454,339429,5400492,1248550,California,06,2016,1587979,5.01
4490574,802589,47639,633684,150398,Colorado,08,2016,198037,4.41
782833,140011,10690,129018,36665,Delaware,10,2016,47355,6.05
576040,155103,4742,170936,19991,District of Columbia,11,2016,24733,4.29
2966525,554927,39365,489942,133382,Connecticut,09,2016,172747,5.82
17195240,2929277,273455,2541569,918024,Florida,12,2016,1191479,6.93
8232061,1458472,97763,1344777,359603,Georgia,13,2016,457366,5.56
1320797,201696,16316,162455,47890,Idaho,16,2016,64206,4.86
1168033,223677,15727,170598,59756,Hawaii,15,2016,75483,6.46
10394067,1940750,134223,1747773,474517,Illinois,17,2016,608740,5.86
5331071,901195,69974,778923,243320,Indiana,18,2016,313294,5.88
2529447,415556,32991,337782,121189,Iowa,19,2016,154180,6.1
2310304,386511,32076,308531,107476,Kansas,20,2016,139552,6.04
3600690,579303,55953,488955,185390,Kentucky,21,2016,241343,6.7
3751715,725764,48297,641451,182517,Louisiana,22,2016,230814,6.15
1123728,177638,16574,149838,56060,Maine,23,2016,72634,6.46
4902314,903101,54054,850257,217954,Maryland,24,2016,272008,5.55
5683233,1099367,67720,1029325,243119,Massachusetts,25,2016,310839,5.47
8138464,1449488,114154,1269324,375908,Michigan,26,2016,490062,6.02
4446706,784388,50231,647681,179050,Minnesota,27,2016,229281,5.16
2393019,431084,35255,401354,130704,Mississippi,28,2017,165959,6.94
4963584,820053,68658,703590,248010,Missouri,29,2017,316668,6.38
859328,138775,11595,107702,36106,Montana,30,2017,47701,5.55
1521245,250410,18306,208681,63324,Nebraska,31,2017,81630,5.37
2429800,449027,29838,358076,94420,Nevada,32,2017,124258,5.11
1133744,180342,14122,154991,46790,New Hampshire,33,2017,60912,5.37
7377448,1343357,92346,1205625,341263,New Jersey,34,2017,433609,5.88
1681966,323388,24892,274047,77020,New Mexico,35,2017,101912,6.06
16410547,3276777,197475,3068890,753884,New York,36,2017,951359,5.8
8377139,1397131,105937,1264733,390908,North Carolina,37,2017,496845,5.93
606716,115490,6743,79553,27586,North Dakota,38,2017,34329,5.66
9515823,1647158,140406,1454920,459966,Ohio,39,2017,600372,6.31
3129329,500161,47417,406013,159196,Oklahoma,40,2017,206613,6.6
3416916,588866,40422,481117,132596,Oregon,41,2017,173018,5.06
10611437,1908802,158372,1701934,552610,Pennsylvania,42,2017,710982,6.7
890333,166848,11591,162729,41155,Rhode Island,44,2017,52746,5.92
4110098,723315,58224,646109,205272,South Carolina,45,2017,263496,6.41
690282,118435,9563,92173,31408,South Dakota,46,2017,40971,5.94
5466987,874661,76122,785847,265391,Tennessee,47,2017,341513,6.25
22164607,3952095,248702,3372702,856662,Texas,48,2017,1105364,4.99
526751,91627,7614,77049,22604,Vermont,50,2017,30218,5.74
2327933,388566,20724,317723,65073,Utah,49,2017,85797,3.69
6919620,1179996,81278,1060259,293157,Virginia,51,2017,374435,5.41
6028802,1046481,66164,828719,230746,Washington,53,2017,296910,4.92
1505831,235076,29215,190630,92239,West Virginia,54,2017,121454,8.07
4739661,832075,60122,702077,201861,Wisconsin,55,2017,261983,5.53
462614,73917,6055,52802,19071,Wyoming,56,2017,25126,5.43
2812219,583563,48149,551459,167941,Puerto Rico,72,2017,216090,7.68
3972124,657497,59858,609482,212135,Alabama,01,2017,271993,6.85
583639,117253,6530,81422,15315,Alaska,02,2017,21845,3.74
5663228,1038238,72914,858557,233247,Arizona,04,2017,306161,5.41
2418049,368758,40628,304307,125135,Arkansas,05,2017,165763,6.86
32009857,6457535,329125,5453614,1235842,California,06,2017,1564967,4.89
4558575,819807,46878,647734,151300,Colorado,08,2017,198178,4.35
792511,135859,10623,133312,37414,Delaware,10,2017,48037,6.06
585161,161791,3901,172944,21147,District of Columbia,11,2017,25048,4.28
2986837,550228,37735,497398,135843,Connecticut,09,2017,173578,5.81
17514198,2989886,269566,2578311,930696,Florida,12,2017,1200262,6.85
